Frame,Prediction,Confidence,FPS
197,crocodile,1.0,2.89
198,crocodile,1.0,2.72
199,crocodile,1.0,2.86
200,crocodile,1.0,2.85
201,crocodile,1.0,2.18
202,crocodile,1.0,3.48
203,crocodile,1.0,3.99
204,crocodile,1.0,3.77
205,crocodile,1.0,4.08
206,crocodile,1.0,3.93
207,crocodile,1.0,3.51
208,crocodile,1.0,3.83
209,crocodile,1.0,3.85
210,crocodile,1.0,3.65
211,crocodile,1.0,3.62
212,crocodile,1.0,3.29
213,crocodile,1.0,3.45
214,crocodile,1.0,3.75
215,crocodile,1.0,2.9
216,crocodile,1.0,3.11
217,crocodile,1.0,3.19
218,crocodile,1.0,3.25
219,crocodile,0.9998,3.19
220,crocodile,0.9998,3.18
221,crocodile,0.9999,2.92
222,crocodile,1.0,2.54
223,crocodile,0.9999,2.99
224,crocodile,1.0,2.95
225,crocodile,1.0,3.16
226,crocodile,1.0,3.33
227,crocodile,1.0,3.21
228,crocodile,1.0,3.02
229,crocodile,1.0,2.77
230,crocodile,1.0,3.13
231,crocodile,1.0,3.09
232,crocodile,0.9999,3.02
233,crocodile,0.9999,3.2
234,crocodile,0.9999,3.14
235,crocodile,0.9998,2.56
236,crocodile,0.9999,3.34
237,crocodile,0.9998,3.17
238,crocodile,0.9999,3.1
239,crocodile,0.9999,3.05
240,crocodile,1.0,3.41
241,crocodile,1.0,2.79
242,crocodile,1.0,3.14
243,crocodile,1.0,3.15
244,crocodile,1.0,3.18
245,crocodile,1.0,3.27
246,crocodile,1.0,3.36
247,crocodile,1.0,3.01
248,crocodile,1.0,3.06
249,crocodile,0.9999,3.41
250,crocodile,1.0,2.77
251,crocodile,1.0,2.99
252,crocodile,0.9999,3.29
253,crocodile,1.0,2.74
254,crocodile,1.0,2.82
255,crocodile,1.0,3.66
256,crocodile,1.0,3.37
257,crocodile,0.9998,3.57
258,crocodile,0.9999,3.65
259,crocodile,1.0,3.68
260,crocodile,0.9997,4.07
261,crocodile,0.9997,2.67
262,crocodile,0.9998,3.47
263,crocodile,0.9997,3.15
264,crocodile,0.9998,3.18
265,crocodile,0.9986,2.96
266,crocodile,0.9941,3.11
267,crocodile,0.9709,3.33
268,crocodile,0.994,3.15
269,crocodile,0.9903,3.02
270,crocodile,0.9899,3.04
271,crocodile,0.9885,3.09
272,crocodile,0.9627,2.7
273,crocodile,0.967,3.25
274,crocodile,0.9406,3.3
275,crocodile,0.926,3.31
276,crocodile,0.8843,3.4
277,crocodile,0.9366,3.28
278,crocodile,0.8949,2.61
279,crocodile,0.6534,3.44
280,crocodile,0.8359,3.41
281,crocodile,0.6999,3.3
282,crocodile,0.7582,3.19
283,crocodile,0.8321,3.35
284,crocodile,0.7162,3.04
285,non-crocodile,0.51,2.84
286,non-crocodile,0.5168,3.22
287,non-crocodile,0.5319,3.21
288,non-crocodile,0.7909,3.33
289,non-crocodile,0.6648,2.6
290,non-crocodile,0.7686,3.31
291,non-crocodile,0.5976,3.5
292,non-crocodile,0.7932,3.49
293,non-crocodile,0.5491,3.17
294,non-crocodile,0.5917,3.35
295,crocodile,0.5371,3.3
296,non-crocodile,0.7715,3.34
297,non-crocodile,0.715,3.19
298,non-crocodile,0.9579,3.29
299,non-crocodile,0.7627,2.5
300,crocodile,0.9083,3.21
301,crocodile,0.9266,2.94
302,crocodile,0.9204,2.99
303,crocodile,0.9079,2.85
304,crocodile,0.9226,3.57
305,crocodile,0.9777,3.75
306,crocodile,0.9798,3.8
307,crocodile,0.926,3.72
308,crocodile,0.7244,3.85
309,crocodile,0.942,3.78
310,crocodile,0.9569,3.3
311,crocodile,0.9895,2.98
312,crocodile,0.9934,3.2
313,crocodile,0.9938,3.14
314,crocodile,0.9943,3.03
315,crocodile,0.9865,3.22
316,crocodile,0.9873,3.18
317,crocodile,0.9938,2.86
318,crocodile,0.9937,2.43
319,crocodile,0.9867,3.19
320,crocodile,0.9795,3.3
321,crocodile,0.9777,3.45
322,crocodile,0.9894,3.42
323,crocodile,0.9763,3.17
324,crocodile,0.9736,3.24
325,crocodile,0.9937,3.13
326,crocodile,0.9866,2.42
327,crocodile,0.9905,2.96
328,crocodile,0.9884,3.26
329,crocodile,0.9946,2.95
330,crocodile,0.9905,2.97
331,crocodile,0.9944,3.15
332,crocodile,0.9928,2.47
333,crocodile,0.9895,2.98
334,crocodile,0.9639,2.98
335,crocodile,0.9828,2.84
336,crocodile,0.9801,3.1
337,crocodile,0.9979,3.06
338,crocodile,0.9983,2.84
339,crocodile,0.9998,2.82
340,crocodile,1.0,2.99
341,crocodile,1.0,2.45
342,crocodile,1.0,3.12
343,crocodile,1.0,3.02
344,crocodile,1.0,3.13
345,crocodile,1.0,3.13
346,crocodile,1.0,2.94
347,crocodile,1.0,3.01
348,crocodile,1.0,3.02
349,crocodile,1.0,3.06
350,crocodile,1.0,2.5
351,crocodile,0.9998,2.75
352,crocodile,0.9992,3.6
353,crocodile,0.9911,3.54
354,crocodile,0.76,3.59
355,non-crocodile,0.6965,3.77
356,crocodile,0.5952,3.72
357,non-crocodile,0.6907,3.98
358,non-crocodile,0.7634,3.28
359,crocodile,0.8883,3.84
360,crocodile,0.8912,3.67
361,crocodile,0.9762,2.97
362,crocodile,0.9745,2.65
363,crocodile,0.9841,3.27
364,crocodile,0.9879,3.0
365,crocodile,0.9936,3.08
366,crocodile,0.9418,3.18
367,crocodile,0.9714,3.05
368,crocodile,0.9984,3.09
369,crocodile,0.9944,2.42
370,crocodile,0.9977,2.97
371,crocodile,0.9995,3.38
372,crocodile,0.996,3.29
373,crocodile,0.9982,3.34
374,crocodile,0.9968,3.38
375,crocodile,0.9906,3.38
376,crocodile,0.9862,3.19
377,crocodile,0.9986,2.6
378,crocodile,0.9998,3.37
379,crocodile,0.9998,3.28
380,crocodile,0.9999,3.35
381,crocodile,1.0,3.01
382,crocodile,1.0,3.32
383,crocodile,1.0,3.45
384,crocodile,1.0,3.19
385,crocodile,1.0,3.16
386,crocodile,0.999,2.5
387,crocodile,0.9991,3.49
388,crocodile,0.9961,3.48
389,crocodile,0.9943,3.33
